timestamp	branch	commit	hostname	hw_model	ram_gib	cpu_summary	model	server_mode	scenario	endpoint	stream	tool_mode	reasoning	temperature	top_p	duration_ms	metric_type	metric_value	tok_per_sec	status	notes
2026-04-01T11:35:19Z	openai-api	d63b735	fiveangle.lan	Mac17,2	32.0	4p 6e 10g	qwen3.5-397b-a17b	reused	health	/health	false	none				41	none			pass	
2026-04-01T11:35:19Z	openai-api	d63b735	fiveangle.lan	Mac17,2	32.0	4p 6e 10g	qwen3.5-397b-a17b	reused	models	/v1/models	false	none				38	none			pass	
2026-04-01T11:35:34Z	openai-api	d63b735	fiveangle.lan	Mac17,2	32.0	4p 6e 10g	qwen3.5-397b-a17b	reused	chat_text_nonstream	/v1/chat/completions	false	none	default	0		14609	text_chars	0		pass	
2026-04-01T11:35:48Z	openai-api	d63b735	fiveangle.lan	Mac17,2	32.0	4p 6e 10g	qwen3.5-397b-a17b	reused	chat_text_stream	/v1/chat/completions	true	none	default	0		14183	stream_deltas	26	1.833	pass	repeat benchmark x24
2026-04-01T11:37:06Z	openai-api	d63b735	fiveangle.lan	Mac17,2	32.0	4p 6e 10g	qwen3.5-397b-a17b	reused	chat_tool_call	/v1/chat/completions	false	forced	default	0		78011	tool_calls	1		pass	forced record_result
2026-04-01T11:37:41Z	openai-api	d63b735	fiveangle.lan	Mac17,2	32.0	4p 6e 10g	qwen3.5-397b-a17b	reused	chat_tool_followup	/v1/chat/completions	false	followup	default	0		34939	text_chars	76		pass	tool_choice none
2026-04-01T11:37:48Z	openai-api	d63b735	fiveangle.lan	Mac17,2	32.0	4p 6e 10g	qwen3.5-397b-a17b	reused	responses_text_nonstream	/v1/responses	false	none	default	0		6282	text_chars	22		pass	
2026-04-01T11:38:02Z	openai-api	d63b735	fiveangle.lan	Mac17,2	32.0	4p 6e 10g	qwen3.5-397b-a17b	reused	responses_text_stream	/v1/responses	true	none	default	0		14412	stream_deltas	52	3.608	pass	repeat benchmark x24
2026-04-01T11:39:21Z	openai-api	d63b735	fiveangle.lan	Mac17,2	32.0	4p 6e 10g	qwen3.5-397b-a17b	reused	responses_tool_call	/v1/responses	false	forced	default	0		78462	tool_calls	1		pass	forced record_result
2026-04-01T11:39:56Z	openai-api	d63b735	fiveangle.lan	Mac17,2	32.0	4p 6e 10g	qwen3.5-397b-a17b	reused	responses_tool_followup	/v1/responses	false	followup	default	0		35563	text_chars	61		pass	tool_choice none
2026-04-01T13:22:38Z	openai-api	860370a	fiveangle.lan	Mac17,2	32.0	4p 6e 10g	qwen3.5-397b-a17b	reused	health	/health	false	none				43	none			pass	
2026-04-01T13:22:39Z	openai-api	860370a	fiveangle.lan	Mac17,2	32.0	4p 6e 10g	qwen3.5-397b-a17b	reused	models	/v1/models	false	none				42	none			pass	
2026-04-01T13:22:52Z	openai-api	860370a	fiveangle.lan	Mac17,2	32.0	4p 6e 10g	qwen3.5-397b-a17b	reused	chat_text_nonstream	/v1/chat/completions	false	none	default	0		12962	text_chars	0		pass	
2026-04-01T13:23:05Z	openai-api	860370a	fiveangle.lan	Mac17,2	32.0	4p 6e 10g	qwen3.5-397b-a17b	reused	chat_text_stream	/v1/chat/completions	true	none	default	0		13624	stream_deltas	26	1.908	pass	repeat benchmark x24
2026-04-01T13:24:23Z	openai-api	860370a	fiveangle.lan	Mac17,2	32.0	4p 6e 10g	qwen3.5-397b-a17b	reused	chat_tool_call	/v1/chat/completions	false	forced	default	0		77950	tool_calls	1		pass	forced record_result
